Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD021592	discovery of a degrader for aml differentiation therapy	iProX	homo sapiens	Orbitrap Fusion	Dataset with its publication pending	Yu Rao	2020-10-07	cdk differentiation degrader, 
PXD016916	xpo1 amplification abrogates the effects of e571k xpo1 mutation in b-cell lymphoma	PRIDE	homo sapiens 	Q Exactive	33007990	Brigitte Sola	2020-09-30	exportin 1, xpo1, human cells,  u2940, medb1, k1106 primary mediastinal b-cell lymphomal lines, q-exactive plus, ap-ms, 
PXD020622	atr interactome in  homo sapiens bone osteosarcoma  u2os cells	PRIDE	homo sapiens 	Q Exactive HF	32973141	Angela Bachi	2020-09-29	interactome atr   u2os cells, 
PXD018566	rewiring of b cell receptor signaling by epstein-barr virus lmp2a	PRIDE	mus musculus , homo sapiens 	Q Exactive HF	Dataset with its publication pending	Thomas Oellerich	2020-09-22	signal transduction, lymphoma, b cell receptor, epstein-barr virus, 
PXD012024	dual targeting of bcr-abl1 and ire1α is a promising therapeutic strategy in ph+ all	PRIDE	homo sapiens 	LTQ Orbitrap Elite	32915195	Iris Appelmann	2020-09-22	biomedical, bcr-abl1, cell death, ire1α, map kinase, ph+ all, treatment, 
PXD020550	context dependent effects of ascorbic acid treatment in tet2 mutant myeloid neoplasia	PRIDE	homo sapiens 	LTQ Orbitrap Elite	32895473	Babal K Jha	2020-09-09	tet2, ascorbic acid, hat, sirtuins, hdac, lysine acetylation, therapy, prevention, mds, leukemia, 
PXD021324	analysis of infant gut microbiome reveals metabolic functional roles associated with healthy and atopic dermatitis using metaproteomics	jPOST	homo sapiens 	Q-Tof Ultima	Dataset with its publication pending	Sittiruk Roytrakul	2020-09-05	atopic dermatitis, bioinformatics, gut microbiome, infants, metabolic function, metaproteomics, 
PXD009423	grp94 rewires and buffers the flt3-itd signaling network and promotes survival of acute myeloid leukemic stem cells	PRIDE	homo sapiens 	Q Exactive	31040234	Jorrit Enserink	2020-09-03	biological, biomedical, flt3, acute myeloid leukemia, hsp90, er stress, leukemic stem cells, 
PXD015587	post-translational regulation of the exon skipping machinery controls aberrant splicing in t cell leukemia	MassIVE	homo sapiens	LTQ Orbitrap Velos; Q Exactive	no publication	Panagiotis Ntziachristos, Young Ah Goo	2020-08-30	t-cell leukemia, post-translation regulation, 
PXD021100	glioma-derived il-33 orchestrates an inflammatory brain tumor microenvironment that accelerates glioma progression	PRIDE	mus musculus , homo sapiens 	LTQ Orbitrap	33020472	Stephen Mark Robbins	2020-08-27	il-33, tumor microenvironment (tme), tumor associated macrophages/monocytes/microglia, glioma, human glioblastoma (gbm), phosphoproteomics, 
PXD014823	global proteomic profiling of meningioma cohort	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	SANJEEVA SRIVASTAVA	2020-08-27	lc ms-ms brain tissue meningioma global proteomics, 
PXD014852	mining the meningioma lanscape to identify biomarkers using lfq	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	SANJEEVA SRIVASTAVA	2020-08-27	human, brain cancer, meningioma, lc m-ms, 
PXD018191	metabolic regulation of the epigenome drives lethal infantile ependymoma	PRIDE	homo sapiens 	Q Exactive HF	32445698	Michael D. Taylor	2020-08-12	pfa ependymomas, proteomics, h3k27 methylation and acetylation, 
PXD015231	defining the interactome of chd4 in fusion-positive rhabdomyosarcoma	PRIDE	homo sapiens 	Orbitrap Fusion	32744500	Beat W. Sch�fer	2020-08-04	biomedical, chd4, alveolar rhabdomyosarcoma, nurd, rh4, 
PXD006711	snail is a key regulator of rhabdomyosarcoma progression and myogenic differentiation	PRIDE	homo sapiens 	micrOTOF-Q II	32664538	Sylwia Kędracka-Krok	2020-07-13	snail (snai1), rhabdomyosarcoma (rms), myogenic differentiation, myod, myf5, metastasis, myomirs, 
PXD015545	human glioblastoma multiforme tissue proteome	PRIDE	homo sapiens 	Q Exactive	32620753	Cheolju Lee	2020-07-06	human, glioblastoma multiforme, quantitation, phosphoproteome, tmt, 
PXD017415	isobaric labeling strategy utilizing 4-plex n, n-dimethyl leucine (dileu) tags reveals proteomic changes induced by chemotherapy-related neurotoxicity in cerebrospinal fluid of children	PRIDE	homo sapiens 	Q Exactive HF	32396724	Lingjun Li	2020-07-02	isobaric labeling, csf proteomics, leukemia, 
PXD015979	proteomics pinpoint alterations in grade i meningiomas of male versus female patients	PRIDE	homo sapiens 	Q Exactive	32587372	Paulo Costa Carvalho	2020-06-30	grade i meningioma, gender comparison, mass spectrometry, shotgun proteomics, 
PXD019780	the role and underlying mechanism of exosomal ca1 in chemotherapy resistance in diffuse large b cell lymphoma	iProX	homo sapiens	Q Exactive	32668392	Yuhua Feng	2020-06-18	diffuse large b cell lymphoma, exosomes, ca1, chemotherapy resistance, 
PXD018359	7 paired aml diagnosis vs relapse patient samples	PRIDE	homo sapiens 	Q Exactive	32512867	Frode Berven	2020-06-11	acute myeloid leukemia relapase, 
PXD014711	drug-tolerant cell-derived exosomes regulate proteasome inhibitor resistance pathways in mll leukemias	PRIDE	homo sapiens 	LTQ Orbitrap	32058648	Han Liu	2020-05-26	exosomes, drug tolerance, proteasome inhibitor, mll leukemia, 
PXD010193	bcl2 amplicon loss and super-enhancer remodeling drives abt-199 resistance	PRIDE	homo sapiens 	Q Exactive	31085176	Jianguo Tao MD/PhD	2020-05-26	biomedical, apoptosis, persister, lymphoma, abpp, 
PXD012317	platform independent protein-based cell-of-origin subtyping of diffuse large b-cell lymphoma in formalin-fixed paraffin-embedded tissue	PRIDE	homo sapiens 	TripleTOF 5600	32398793	Prof. Dr. Peter Oefner	2020-05-18	biomedical, dlbcl, lymphoma, cell of origin, proteomics, swath-ms, 
PXD015039	immunopeptidome of an acute myeloid leukemia cell line thp1	PRIDE	homo sapiens 	Orbitrap Fusion	32387766	Anthony Wayne Purcell	2020-05-15	aml, immunopeptidome, hla class i, ptm, cancer, 
PXD016832	elongator complex deficiency in sonic hedgehog medulloblastoma	PRIDE	homo sapiens 	Q Exactive HF-X	32296180	Damarys Loew	2020-04-22	biomedical, meduloblastoma, shh, elongator complex, elp1, 
PXD018676	tbl1xr1 mutations drive extranodal lymphoma by inducing a pro-tumorigenic memory fate	MassIVE	homo sapiens	instrument model	no publication	Brian Raught	2020-04-20	tbl1xr1, bioid, biotin, streptavidin, proximity labeling, lc-ms, 
PXD005978	signaling network diversification during differentiation sensitizes aml cells to pak and mek inhibitors	PRIDE	homo sapiens 	Q Exactive	29626197	Pedro R. Cutillas	2020-04-14	biomedical, aml, phosphoproteomics, kinase-inhibitors, kinase-signalling, 
PXD014997	ms-based proteomic and phosphoproteomic characterization of the aml proteome	PRIDE	homo sapiens 	Q Exactive	32192169	Frode Steingrimsen Berven	2020-04-13	acute myeloid leukemia, proteomics, phosphoproteomics, human aml primary cells, lc-msms, super-silac, 
PXD014963	the mitochondrial protease, neurolysin, regulates respiratory chain supercomplex formation and is necessary for aml viability	MassIVE	homo sapiens	instrument model	no publication	Brian Raught	2020-04-07	neurolysin, clpp, qehf, lc-ms, bioid, biotin, hek293 t-rex, 
PXD016698	metabolic changes related to the idh1 mutation in gliomas preserve tca-cycle activity: an investigation at the protein level	PRIDE	homo sapiens 	Q Exactive	31960518	Theo Luider	2020-03-09	glioma, metabolism, proteomics, idh1, 
PXD016697	metabolic changes related to the idh1 mutation in gliomas preserve tca-cycle activity: an investigation at the protein level	PRIDE	homo sapiens 	Q Exactive	31960518	Theo Luider	2020-03-09	glioma, proteomics, idh1 mutation, 
PXD012523	secretome analysis of glioblastoma cells	PRIDE	homo sapiens 	Q Exactive	32054826	Robert Ahrends	2020-03-05	biomedical, secretome, label-free, dda, shot-gun proteomics, glioblastoma, perk inhibitor, 
PXD015662	the phosphoproteomic landscape of two flt3+ acute myeloid leukemia (aml) patient samples-lysates.	PRIDE	homo sapiens 	Q Exactive	32102969	Connie Ramona Jimenez	2020-03-01	human, tyrosine kinase, acute myeloid leukemia, aml, label-free, flt3, single-shot, phosphoproteomics, 
PXD015639	the phosphoproteomic landscape of two flt3+ acute myeloid leukemia (aml) patient samples.	PRIDE	homo sapiens 	Q Exactive	32102969	Connie Ramona Jimenez	2020-03-01	human, tyrosine kinase, acute myeloid leukemia, aml, label-free, flt3, single-shot, phosphoproteomics, 
PXD013661	the secretome profiling of a pediatric airway epithelium infected with hrsv identified aberrant apical/basolateral trafficking and novel immune modulating (cxcl6, cxcl16, csf3) and antiviral (ceacam1) proteins.	PRIDE	homo sapiens 	Q Exactive	32075873	Julian Hiscox	2020-02-25	respiratory syncytial virus, well-differentiated pediatric bronchial epithelial cells (wd-pbecs), quantitative proteomics, secretome directionality, cxcl6, cxcl16, csf3, ceacam1, 
PXD014487	adipocyte vesicles: ‘all-in-one’ packages that stimulate tumor mitochondrial metabolism and dynamics	PRIDE	mus musculus , homo sapiens 	LTQ Orbitrap Velos; Q Exactive Plus	31919869	Odile Burlet-Schiltz	2020-02-17	exosome / fatty acid oxidation / lipophagy / melanoma / obesity / lc-msms, 
PXD017230	hdac3 preferentially binds to runx1 in t(8;21) aml cells and collaborates with runx1 to repress aml1-eto-mediated transcriptional activation	PRIDE	homo sapiens 	Orbitrap Fusion	32071087	Markus Kalkum	2020-02-16	aml, leukemia, t(8,21) translocation, hdac3, runx1, 
PXD012616	combined proteomics and mirnomics of a glioblastoma immunotherapy cohort reveals resistance factor candidates and novel counterstrategy concepts	PRIDE	homo sapiens 	Q Exactive	31969991	Hannes Hahne	2020-01-29	biomedical, glioblastoma, clinical cohort, immune oncology, proteomics, 
PXD016128	hodgkin lymphoma-educated macrophages	PRIDE	homo sapiens 	TripleTOF 5600	31825135	Prof. Dr. Peter Oefner	2020-01-29	cd206, macrophages, lymphoma, swath, 
PXD015151	histone modification analysis of oligodendroglioma and astrocytoma brain cancer samples	PRIDE	homo sapiens 	Q Exactive HF	31773240	Ruedi Aebersold	2020-01-17	biomedical, histone modifications, brain cancer, oligodendroglioma, astrocytoma, histone epi-proteome, 
PXD016771	l-ascorbic acid and ��-tocopherol synergistically triggers apoptosis inducing antileukemic effects of arsenic trioxide via oxidative stress in human acute promyelocytic leukemia cells.	PRIDE	homo sapiens 	Synapt MS	Dataset with its publication pending	dr.Abdul jaleel K A	2020-01-10	cancer (b/d-hpp), human proteome project, human acute promyelocytic leukemia cells ,lc- ms/ms, 
PXD009834	mitochondrial network organization during neuronal reprogramming, mt_udf_sec	PRIDE	homo sapiens 	LTQ Orbitrap Elite	31536960	Mohan Babu	2020-01-09	biological, biochemical fractionation, ci and civ deficiencies, differentiated neuronal cells, human ntera2 embryonal carcinoma stem cells, mass spectrometry, mitochondrial proteins, mitochondrial interaction landscape,
PXD009833	mitochondrial network organization during neuronal reprogramming, mt_df_sec	PRIDE	homo sapiens 	LTQ Orbitrap Elite	31536960	Mohan Babu	2020-01-09	biological, biochemical fractionation, ci and civ deficiencies, differentiated neuronal cells, human ntera2 embryonal carcinoma stem cells, mass spectrometry, mitochondrial proteins, mitochondrial interaction landscape,
PXD009831	mitochondrial network organization during neuronal reprogramming, mt-df-wax	PRIDE	homo sapiens 	LTQ Orbitrap Elite	31536960	Mohan Babu	2020-01-09	biochemical fractionation, ci and civ deficiencies, differentiated neuronal cells, human ntera2 embryonal carcinoma stem cells, mass spectrometry, mitochondrial proteins, mitochondrial interaction landscape, proteomics, protein complexe
PXD009832	mitochondrial network organization during neuronal reprogramming, mt_udf_wax	PRIDE	homo sapiens 	LTQ Orbitrap Elite	31536960	Mohan Babu	2020-01-09	biological, biochemical fractionation, ci and civ deficiencies, differentiated neuronal cells, human ntera2 embryonal carcinoma stem cells, mass spectrometry, mitochondrial proteins, mitochondrial interaction landscape,
PXD016779	lysine methylome features in ezh2 wild-type and mutant lymphoma cell line	iProX	homo sapiens	LTQ Orbitrap Elite	31846764	Minjia Tan	2019-12-16	lysine methylation, ezh2, diffuse large b cell lymphoma, 
PXD008307	tandem mass tag (tmt) quantitative proteomics of human acute myeloid leukaemia (aml)	PRIDE	homo sapiens 	LTQ Orbitrap Velos	29144447	Jenny Hansson	2019-12-09	biomedical, human, aml, leukemic stem cells, lc-msms, tmt, 
PXD015748	mapping the hla ligandome landscape of acute myeloid leukemia: a targeted approach toward peptide-based immunotherapy	PRIDE	homo sapiens 	LTQ Orbitrap	25092142	Juliane S. Walz (ne?? Stickel)	2019-11-27	biomedical, lc-msms, acute myeloid leukemia, 
PXD016453	lc-ms-based urine metabolomics analyses for early diagnosis of medulloblastoma	iProX	homo sapiens	LTQ Orbitrap	Dataset with its publication pending	Wei Sun	2019-11-26	medulloblastoma, 
PXD014652	multifunctional temozolomide-loaded lipid superparamagnetic nanovectors: dual targeting and disintegration of glioblastoma spheroids by synergic chemotherapy and hyperthermia treatment	PRIDE	homo sapiens 	Orbitrap Fusion ETD	Dataset with its publication pending	Andrea Petretto	2019-11-25	lc-ms/ms, glioblastoma spheroids, chemotherapy, hyperthermia treatment, 
PXD013245	brd9 regulates leukemic cell survival via stat5 pathway inhibition	PRIDE	homo sapiens 	Q Exactive	31000698	Lucia Altucci	2019-11-11	leukemia, lc-msms, brd9, stat5, 
PXD007228	quantitative phosphoproteomic profiling of primary retinoblastoma tumors	PRIDE	homo sapiens 	LTQ Orbitrap Elite	29914080	Sailaja Elchuri	2019-11-11	biomedical, retinoblastoma, phosphoproteomics, lc-ms, 
PXD013611	prmt5 methylome profiling uncovers a direct link to splicing regulation in human acute myeloid leukemia	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	31611688	Ole N Jensen	2019-11-08	human, prmt5, arginine methylation, tmt, ptm, 
PXD006298	tmt-fasp-lc-ms analysis of human pediatric omental biopsies	PRIDE	homo sapiens 	Q Exactive	29046343	Klaus Kratochwill	2019-11-08	biomedical, human, omentum, tmt, fasp, arterioles, microdissection, peritoneal dialysis, uremia, 
PXD015755	mycn and metabolic reprogramming in neuroblastoma 	jPOST	homo sapiens 	Q Exactive	Dataset with its publication pending	Marie Arsenian-Henriksson	2019-10-30	neuroblastoma, mycn, metabolism, mitochondria, fatty acids, glycolysis, oxidative phosphorylation, glutamine synthesis, β-oxidation, therapy, 
PXD009058	pilot plasma proteomic study of steroid resistance in pediatric nephrotic syndrome	MassIVE	homo sapiens	LTQ Orbitrap Elite	no publication	Michael L. Merchant, PhD	2019-10-29	nephrotic syndrome, steroid resistance, plasma proteomics, pediatrics, 
PXD012305	npm and npm-mlf1 interact with chromatin remodeling complexes and influence their recruitment to specific genes	PRIDE	homo sapiens 	LTQ Orbitrap Velos	31675375	Dr Milot Eric	2019-10-17	biomedical, npm, npm-mlf1, leukemia, chromatin remodeling complexes, proteomic, epigenetic, 
PXD015520	the long non-coding rna hoxb-as3 regulates ribosomal rna transcription in npm1-mutated acute myeloid leukemia	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Ramiro Garzon	2019-10-16	hoxb-as3, lncrna, ebp1, acute myeloid leukemia, 
PXD002799	nuclear proteomics in acute myeloid leukemia	PRIDE	homo sapiens 	LTQ Orbitrap Velos; TripleTOF 5600	Dataset with its publication pending	Anthony Whetton	2019-10-15	biomedical, acute myeloid leukaemia, itraq,, 
PXD012919	analysis of mitochondrial n termini by hunter (high-efficiency undecanal-based n termini enrichment) 	MassIVE	homo sapiens	Q Exactive	no publication	Dr. Philipp Lange, Dr. Pitter F. Huesgen	2019-10-15	hunter, n termini, proteolytic proteoforms, proteomics, mitochondrial, b-all, aml, 
PXD012916	analysis of proteolytic processes in plasma and bone marrow interstitial fluid of pediatric b-all patients by hunter (high-efficiency undecanal-based n termini enrichment)	MassIVE	homo sapiens	Q Exactive	no publication	Dr. Philipp Lange, Dr. Pitter F. Huesgen	2019-10-15	hunter, n termini, proteolytic proteoforms, b-all, plasma, pediatric, 
PXD007640	quantitative proteomics and bioinformatics analyses reveal the mechanism of pan-aurora kinase inhibitor tozasertib in neuroblastoma	PRIDE	mus musculus , homo sapiens 	LTQ Orbitrap	31560547	Hsueh-Fen Juan	2019-09-30	neuroblastoma/ tozasertib/ itraq/ metabolite/ aurora kinase inhibitor., 
PXD010924	altered patterns of global protein synthesis and translational fidelity in rps15-mutated chronic lymphocytic leukemia	PRIDE	homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	30181176	Daniel J Finley	2019-09-09	biomedical, chronic lymphocytic leukemia, cll, rps15, ribosomal decoding center, translational fidelity, proteostasis, 
PXD007755	proteomic profiling of rhabdomyosarcoma-derived exosomes yield functional role for extracellular vesicles	PRIDE	homo sapiens 	LTQ Orbitrap Velos	31448612	Yehia S Mechref	2019-08-29	biomedical, rhabdomyosarcoma, exosomes, proteomics, pathways, 
PXD011198	hswath: unlocking swath’s full potential for an untargeted histone perspective	PRIDE	bos taurus , homo sapiens 	TripleTOF 5600	31429292	Maarten Dhaenens	2019-08-27	sequential window acquisition of all theoretical fragment ion spectra (swath), data independent acquisition (dia), histone, mass spectrometry (ms), post-translational modification (ptm), epigenetics, 
PXD015008	melk mediates the stability of ezh2 throught site-specific phosphorylation in extranodal natural killer/t-cell lymphoma	PRIDE	homo sapiens 	Q Exactive HF	31434700	Dennis Kappei	2019-08-26	ezh2, melk, phosphorylation, ubiquitination, silac, extranodal natural killer/t-cell lymphoma (nktl), 
PXD014792	prmt5 methylome profiling uncovers a direct link to splicing regulation in human acute myeloid leukemia	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Ole N Jensen	2019-08-21	human, prmt5, arginine methylation, tmt, ptm, 
PXD014579	cell-derived extracellular vesicles can be used as a biomarker reservoir for glioblastoma tumor subtyping	PRIDE	homo sapiens 	LTQ Orbitrap	42003-019-0560-x	Prof Georgios Giamas	2019-08-08	glioblastoma, extracellular vesicles, biomarkers, 
PXD014111	itraq-based quantitative proteomic analysis of nuclear fractions of glioma (who grade ii, iii and iv) tissues to identify altered transcriptional regulatory proteins	PRIDE	homo sapiens 	LTQ Orbitrap Velos	31358880	Dr. Ravi Sirdeshmukh	2019-08-06	glioma, diffused astrocytoma, anaplastic astrocytoma, glioblastoma, sub cellular fractionation, nuclear proteins, itraq, transcription factor, transcription regulatory proteins, 
PXD009925	hla-i peptidomics od meningioma tissues - peptide length distribution and multiple specificity in naturally presented hla-i ligands	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Michal Bassani-Sternberg	2019-07-31	biology/disease-driven human proteome project (b/d-hpp), biomedical, hla class i peptides, meningioma, hla binding motifs, 
PXD012007	therapeutic targeting of rna splicing catalysis through inhibition of protein arginine methylation	PRIDE	homo sapiens 	Q Exactive	31408619	Tiziana Bonaldi	2019-07-30	methylation, leukemia, prmt1, prmt5, 
PXD014606	glioma proteome explored by lc/ms/ms	PRIDE	homo sapiens 	LTQ Orbitrap	31331834	Paul Jenoe	2019-07-24	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, biomedical, glioma, glioblastoma, cancer, endocytosis, brain, human, 
PXD014648	homologous recombination repair and cholesterol-mediated drug efflux induce dose-dependent chemoresistance in nutrient-deprived neuroblastoma cells	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Sang-Won Lee	2019-07-19	neuroblastoma, serum starvation, chemoresistance, proteomics, network model, mass spectrometry, 
PXD012083	aml hla ligandome reveals mutated npm1 as a recurrent neoantigen	PRIDE	homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	31291378	Joshua E Elias	2019-07-16	homo sapiens, acute myeloid leukemia, hla, neoantigen, 
PXD014234	anti-tumor effects of pim/pi3k/mtor triple kinase inhibitor ibl-302 in neuroblastoma	PRIDE	homo sapiens 	Q Exactive	31310053	Charlotte Welinder	2019-07-11	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, cisplatin, ibl-302, neuroblastoma, multikinase inhibition, pi3k, lc-ms/ms, 
PXD012087	kinome profiling of non-hodgkin lymphoma identifies tyro3 as a therapeutic target in pel	PRIDE	homo sapiens 	Q Exactive	31346082	Blossom Andrea Damania	2019-07-11	kinome profiling, non-hodgkin lymphoma, primary effusion lymphoma, tyro3, 
PXD012318	ezhip / cxorf67 mimics k27m mutated oncohistones and functions as an intrinsic inhibitor of prc2 function in aggressive posterior fossa ependymoma	PRIDE	homo sapiens 	Orbitrap Fusion ETD	30923826	Marcel Kool	2019-07-08	biomedical, ependymoma, prc2, ezhip, cxorf67, 
PXD000848	itraq-based quantitative proteomic analysis of membrane and nuclear fractions of glioma (who grade ii, iii and iv) tissues to map on chromosome 12 and identification of mass spectrometry evidence for 'missing proteins'	PRIDE	homo sapiens 	LTQ Orbitrap Velos	24804578	Dr. Ravi Sirdeshmukh	2019-06-04	glioma, diffused astrocytoma, anaplastic astrocytoma, glioblastoma, sub cellular fractionation, membrane proteins, nuclear proteins, itraq, chromosome 12, synaptic vesicle 2-related protein, iq motif containing d, 
PXD012485	cysteine nitrosylation analysis in sh-sy5y cells	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	31097712	Ren� P. Zahedi	2019-05-21	biological, cysteine, nitrosylation, neuroblastoma cells, 
PXD013702	protein identification in 1000 u2os cells	PRIDE	homo sapiens 	Q Exactive	31318197	Yu Lu	2019-05-06	1000 cells, lc-ms, u2os, osteosarcoma, sample recovery yield, sam ple processing, 
PXD013528	ffpe proteomes for group 3 and group 4 subtypes of paediatric medulloblastoma	MassIVE	homo sapiens	Q Exactive	no publication	Jonathan M Blackburn	2019-04-16	ffpe, medulloblastoma, brain, 
PXD007212	inhibition of nuclear pten tyrosine phosphorylation enhances glioma radiation sensitivity through attenuated dna repair	MassIVE	homo sapiens	LTQ Orbitrap	30827889	Frank B. Furnari1	2019-04-15	glioblastoma, dna repair, pten, 
PXD008244	adherent and spheroid glioblastoma proteomics	PRIDE	homo sapiens 	Q Exactive Plus	30975602	Gert Lubec	2019-04-15	biomedical, glioblastoma multiforme, dendritic cell, immunotherapy, gliomasphere, antigen source, quantitative proteomics, 
PXD010180	glioblastoma cells� response to a cancer drug	PRIDE	homo sapiens 	Q Exactive	30964684	Henriette Engen Berg	2019-04-12	biomedical, human, q-exactive, glioblastoma, proteomics, nano lc-ms, 
PXD011743	molecular insights into an ancient form of paget disease of bone	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	31036632	Roman Fischer	2019-04-09	biomedical, paleoproteomics, paget disease, sqstm1, p62, osteosarcoma, 
PXD012715	brd4 ip ms in leukemia	PRIDE	homo sapiens 	Q Exactive	31133746	Karl Mechtler	2019-04-04	biomedical, brd4, leukemia, complex, mthfd1, 
PXD012647	human lymphoma cell membrane proteomics by pitchfork strategy	PRIDE	homo sapiens 	Orbitrap Fusion	31176011	Jiri Petrak	2019-03-29	membrane proteins, imp, lymphoma, speg, hptc, 
PXD013061	asparaginase and gsk3a inhibitor treatment of ccrf-cem cells	PRIDE	homo sapiens 	LTQ Orbitrap	J.CCELL.2019.03.004	Alejandro Gutierrez	2019-03-29	asparaginase, gsk3, leukemia, 
PXD012833	transfer of antigen target into car t cells via trogocytosis	PRIDE	homo sapiens 	Q Exactive	30918399	Michel Sadelain	2019-03-29	car t cell, t cell, leukemia, cd19, trogocytosis, 
PXD012192	peptidomics analysis of milk protein-derived peptides released over time in the preterm infant stomach	PRIDE	bos taurus , homo sapiens 	Orbitrap Fusion Lumos	30638015	David Dallas	2019-03-11	biological, peptide, human milk, gastric, preterm, bioactive, digestion, 
PXD012207	glioblastoma  serum biomarkers identification by itraq	PRIDE	homo sapiens 	LTQ Orbitrap XL; LTQ Orbitrap Elite	30808902	Prof. Kumaraval Somasundaram	2019-03-04	biomedical, human, serum, itraq, glioblastoma, gbm, 
PXD010175	proteogenomics of high hyperdiploid childhood acute lymphoblastic leukemia	PRIDE	homo sapiens 	Q Exactive	30944321	Janne Lehti�	2019-02-25	biomedical, lc-ms/ms, human, leukemia, proteogenomics, 
PXD008984	identification of changes in the lnz308 hla immunopeptidome after virotherapy, irradiation and chemotherapy	PRIDE	homo sapiens 	LTQ Orbitrap	30775418	Prof. Dr. Stefan Stevanović	2019-02-19	biomedical, human, lcms, glioblastoma, oncolytic virotherapy, immunopeptidome, personalized immunotherapy, 
PXD012599	three-pronged 'pitchfork' strategy enables an extensive description of human membrane proteome and identification of missing proteins	MassIVE	homo sapiens	Orbitrap Fusion	no publication	Ondrej Vit	2019-02-05	integral membrane proteins, cyanogen bromide, glycopeptide enrichment, missing proteins, mantle cell lymphoma, 
PXD010217	off-target based drug repurposing opportunities for tivantinib in acute myeloid leukemia	PRIDE	homo sapiens 	Q Exactive	30679640	Uwe Rix, PhD	2019-01-29	biomedical, aml, drug pulldowns, tivantinib, 
PXD011515	infectera: challenges in clinical metaproteomics highlighted by the analysis of acute leukemia patients with gut colonization by multidrug-resistant enterobacteriaceae	PRIDE	homo sapiens 	Q Exactive	30626002	Bernhard Kuster	2019-01-14	biomedical, human gut microbiome, metaproteome, data analysis, mass spectrometry, proteomics, clinical proteomics, multi-omics, multidrug-resistant enterobacteriaceae, 
PXD007044	proteomic analysis of meningioma of different grades identifies potential therapeutic targets and biomarkers	PRIDE	homo sapiens 	LTQ Orbitrap Velos	30594554	Clemens Oliver Hanemann	2019-01-07	biomedical, meningioma, lc-ms/ms, 
PXD010808	b cell lymphomas present immunoglobulin neoantigens	PRIDE	homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	30545830	Joshua E Elias	2019-01-07	biological, mhc, neoantigens, lymphoma, orbitrap, 
PXD011478	high-throughput identification of flt3 wild-type and mutant kinase substrate preferences and application to design of sensitive in vitro kinase assay substrates	PRIDE	homo sapiens 	Orbitrap Fusion	30541869	Laurie L. Parker	2019-01-07	acute myeloid leukemia, flt3, mass spectrometry, phosphoproteomics, kinase assay linked with phosphoproteomics, 
PXD007125	proteomic analysis of meningioma of different grades identifies potential therapeutic targets and biomarkers	PRIDE	homo sapiens 	LTQ Orbitrap Velos	30594554	Prof. O. Hanemann	2019-01-02	biomedical, meningioma, proteomics, 
PXD007073	proteomic analysis of meningioma of different grades identifies potential therapeutic targets and biomarkers	PRIDE	homo sapiens 	LTQ Orbitrap Velos	30594554	Clemens Oliver Hanemann	2019-01-02	biomedical, meningioma, lc-ms/ms,, 
PXD008234	absolute quantitation of all plasma proteins from swath data for biomarker discovery	PRIDE	homo sapiens 	TripleTOF 5600	30585401	Chandra P. Belani	2019-01-02	biological, biomedical, swath, data-independent acquisition, absolute quantification, plasma biomarkers, lung cancer, 
PXD011307	glycoproteomic analysis of mgl binding protein on acute t cell leukemia cells	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	30582698	Paul Hensbergen	2019-01-02	biological, biomedical, glycoproteomics, lectin, tn-antigen, leukemia, o-glycosylation, 
PXD012132	proteomic signature of neuroblastoma cells ukf-nb-4 reveals key role of lysosomal sequestration and the proteasome complex in acquiring chemoresistance to cisplatin	PRIDE	homo sapiens 	Q Exactive	30592607	Vivian de los Rios	2019-01-02	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, biomedical, neuroblastoma, chemoresistance, cisplatin, lysosomes, proteomics, v-atpases, 
PXD011102	pediatric burn blister fluid lc-ms/ms swath	PRIDE	homo sapiens 	TripleTOF 5600	30520305	Tony J. Parker	2018-12-21	biomedical, blister fluid, burn injury, proteomics, swath, burn depth, time to re-epithelialization, 
PXD011298	multi-omics of azacitidine-treated aml cells reveals variable and convergent targets that remodel the cell surface proteome	MassIVE	homo sapiens	Q Exactive	no publication	James Wells	2018-12-15	aml, azacitidine, surface proteomics, 
PXD009380	kinome profiling of diffuse large b-cell lymphoma cells in response to dasatinib	PRIDE	homo sapiens 	Q Exactive	30540191	Laura E. Herring	2018-12-14	biomedical, kinome, lymphoma, cancer, dasatinib, lc-ms, 
